rank,year,school,overall,peer_assess,judges_assess,gpa25,gpa75,lsat25,lsat75,pct_emp_grad,pct_emp_9,accept,sf_ratio,bar_pass_pct,pass_rate,mid_gpa,mid_lsat
1,2016,Yale University,100,4.8,4.8,3.82,3.97,170,176,88.2,88.7,9,7.6,97.9,76,3.895,173
2,2016,Harvard University,96,4.8,4.8,3.75,3.95,170,175,91.5,95,15,11.8,97,76,3.85,172.5
2,2016,Stanford University,96,4.8,4.8,3.8,3.97,169,174,93.8,92.8,9,7.3,90.3,65,3.885,171.5
4,2016,Columbia University,93,4.6,4.7,3.58,3.81,170,174,94.7,97,19,6.3,96.3,76,3.695,172
4,2016,University of Chicago,93,4.6,4.7,3.79,3.96,166,172,93.5,96.3,18,8.4,98.6,88,3.875,169
6,2016,New York University,89,4.5,4.5,3.56,3.87,167,172,93.7,95.5,30,8.6,96.2,76,3.715,169.5
7,2016,University of Pennsylvania,88,4.4,4.4,3.52,3.95,164,170,95.8,96.5,16,10.3,96.5,76,3.735,167
8,2016,Duke University,84,4.2,4.5,3.66,3.85,166,170,81.8,87.6,21,9.2,98.7,76,3.755,168
8,2016,University of California - Berkeley,84,4.4,4.5,3.67,3.88,164,169,84.4,90.4,20,13.3,85.7,65,3.775,166.5
8,2016,University of Virginia,84,4.3,4.5,3.57,3.93,166,170,97.3,97,18,10.9,93.6,77,3.75,168
11,2016,University of Michigan - Ann Arbor,83,4.4,4.6,3.57,3.83,165,169,76.9,84.5,27,13,94.3,76,3.7,167
12,2016,Northwestern University,81,4.1,4.4,3.53,3.83,162,170,82.4,90.8,25,7.2,95.4,88,3.68,166
13,2016,Cornell University,79,4.2,4.3,3.55,3.76,166,169,87.6,89.6,30,10.5,94.4,76,3.655,167.5
14,2016,Georgetown University,78,4.1,4.4,3.48,3.84,163,168,85.3,89.8,29,12.6,92.3,76,3.66,165.5
15,2016,University of Texas - Austin,76,4,4.2,3.43,3.82,163,168,67.5,86.2,24,10.4,94.8,85,3.625,165.5
16,2016,UCLA,75,3.9,4.1,3.56,3.9,163,169,59.6,82.2,28,10.2,88.2,65,3.73,166
17,2016,Vanderbilt University,74,3.8,4.1,3.45,3.84,162,168,84.4,90.8,35,12.8,100,82,3.645,165
18,2016,Washington University in St. Louis,69,3.5,3.9,3.2,3.76,162,167,53,75.7,30,9.7,94.6,90,3.48,164.5
19,2016,Emory University,68,3.5,3.8,3.3,3.85,158,166,67.8,93.5,37,12.2,96.8,85,3.575,162
20,2016,University of Minnesota - Twin Cities,67,3.4,3.7,3.42,3.85,157,166,70.8,78.5,41,10.1,96.5,90,3.635,161.5
20,2016,University of Southern California,67,3.5,3.7,3.55,3.86,163,167,56.1,72.2,28,10.7,85.8,65,3.705,165
22,2016,George Washington University,66,3.4,3.8,3.42,3.8,159,166,79.1,89.2,45,15.4,64.3,76,3.61,162.5
