"overall","peer_assess","judges_assess","gpa25","gpa75","lsat25","lsat75","pct_emp_grad","pct_emp_9","accept","sf_ratio","bar_pass_pct","zpeer_assess","zjudges_assess","zgpa25","zgpa75","zlsat25","zlsat75","zpct_emp_grad","zpct_emp_9","zaccept","zsf_ratio","zbar_pass_pct","school","rank","tier","year"
100,4.8,4.8,3.82,3.97,170,176,88.2,88.7,9,7.6,97.9,2.75729498972221,2.62138626913431,2.82461263239648,2.25005305593047,2.82485328597866,3.01369207140146,2.32696658282938,1.56728139927838,-2.50145525091718,-1.7022566820194,1.45222464253649,"Yale University",1,"Top",2016
96,4.8,4.8,3.75,3.95,170,175,91.5,95,15,11.8,97,2.75729498972221,2.62138626913431,2.50899666304283,2.10354933009669,2.82485328597866,2.81900912105253,2.50441837822908,2.14615651304129,-2.10940172165648,-0.0358411592593621,1.34137312748778,"Harvard University",2,"Top",2016
96,4.8,4.8,3.8,3.97,169,174,93.8,92.8,9,7.3,90.3,2.75729498972221,2.62138626913431,2.73443664115258,2.25005305593047,2.64319069524048,2.6243261707036,2.62809690229554,1.94400964791773,-2.50145525091718,-1.82128636221655,0.516145182125145,"Stanford University",2,"Top",2016
93,4.6,4.7,3.58,3.81,170,174,94.7,97,19,6.3,96.3,2.50064326868074,2.4639992175322,1.74250073746966,1.07802324926023,2.82485328597866,2.6243261707036,2.67649284649546,2.32992639042633,-1.84803270214934,-2.2180519628737,1.25515528244989,"Columbia University",4,"Top",2016
93,4.6,4.7,3.79,3.96,166,172,93.5,96.3,18,8.4,98.6,2.50064326868074,2.4639992175322,2.68934864553063,2.17680119301358,2.09820292302595,2.23496027000574,2.61196492089557,2.26560693334157,-1.91337495702612,-1.38484420149368,1.53844248757438,"University of Chicago",4,"Top",2016
89,4.5,4.5,3.56,3.87,167,172,93.7,95.5,30,8.6,96.2,2.37231740816,2.14922511432797,1.65232474622576,1.51753442676157,2.27986551376413,2.23496027000574,2.62271957516221,2.19209898238755,-1.12926789850472,-1.30549108136225,1.24283844744448,"New York University",6,"Top",2016
88,4.4,4.4,3.52,3.95,164,170,95.8,96.5,16,10.3,96.5,2.24399154763927,1.99183806272585,1.47197276373796,2.10354933009669,1.7348777415496,1.84559436930787,2.73564344496202,2.28398392108007,-2.04405946677969,-0.63098956024509,1.27978895246072,"University of Pennsylvania",7,"Top",2016
84,4.2,4.5,3.66,3.85,166,170,81.8,87.6,21,9.2,98.7,1.98733982659779,2.14922511432797,2.10320470244527,1.37103070092779,2.09820292302595,1.84559436930787,1.98281764629664,1.46620796671661,-1.71734819239577,-1.06743172096796,1.55075932257979,"Duke University",8,"Top",2016
84,4.4,4.5,3.67,3.88,164,169,84.4,90.4,20,13.3,85.7,2.24399154763927,2.14922511432797,2.14829269806722,1.59078628967846,1.7348777415496,1.65091141895894,2.12262815176307,1.72348579505568,-1.78269044727256,0.559307241726366,-0.0504292281238259,"University of California - Berkeley",8,"Top",2016
84,4.3,4.5,3.57,3.93,166,170,97.3,97,18,10.9,93.6,2.11566568711853,2.14922511432797,1.69741274184771,1.95704560426291,2.09820292302595,1.84559436930787,2.81630335196188,2.32992639042633,-1.91337495702612,-0.392930199850799,0.922600737303754,"University of Virginia",8,"Top",2016
